lor_number,total,below age 6, 6 - 15,15 - 18,18 - 27,27 - 45,45 - 55,55 - 65,65 an more,of those female,of those immigrants,lor
1, 6 257,368,508,172,834, 2 309,793,629,644, 2 912, 2 507,Askanischer Platz
2, 8 633,551,864,313, 1 169, 2 659, 1 077,907, 1 093, 4 270, 3 004,Mehringplatz
3, 5 385,374,531,155,635, 1 732,693,631,634, 2 694, 1 717,Am Berlin Museum
4, 5 587,373,538,190,750, 1 563,807,719,647, 2 744, 2 074,Moritzplatz 
5, 9 527,563,940,294, 1 144, 2 899, 1 263, 1 092, 1 332, 4 752, 3 290,Prinzenstraße
6, 5 028,288,496,170,612, 1 466,682,653,661, 2 490, 1 625,Wassertorplatz
7, 2 083,174,201,29,145,820,195,205,314, 1 037,482,Gleisdreieck
8, 5 922,330,482,149,627, 2 013,822,809,690, 2 863, 1 646,Rathaus Yorckstraße
9, 10 906,733,806,227,910, 4 053, 1 551, 1 402, 1 224, 5 338, 2 705,Viktoriapark
10, 12 299,735,793,258, 1 176, 4 635, 1 704, 1 664, 1 334, 5 951, 3 367,Urbanstraße
11, 14 747,808,944,316, 1 418, 5 048, 2 202, 2 256, 1 755, 7 303, 3 621,Chamissokiez
12, 8 528,567,728,226,850, 2 942, 1 198, 1 096,921, 4 239, 2 290,Graefekiez Süd
13, 10 185,596,693,204,845, 3 999, 1 419, 1 294, 1 135, 5 067, 2 959,Graefekiez Nord
14, 7 502,328,533,215,779, 2 462, 1 209, 1 050,926, 3 534, 2 739,Oranienplatz
15, 8 626,477,662,211,950, 2 965, 1 255, 1 175,931, 4 183, 2 940,Lausitzer Platz
16, 4 214,215,314,77,340, 1 495,622,566,585, 2 038, 1 241,Köpenicker Straße
17, 8 268,395,652,196,789, 3 241, 1 206,929,860, 3 958, 2 787,Reichenberger Straße West
18, 7 705,433,508,144,682, 3 001, 1 206,957,774, 3 730, 2 307,Reichenberger Straße Ost
19, 10 728,598,633,223, 1 059, 4 422, 1 552, 1 266,975, 5 078, 3 535,Wrangelkiez
20, 5 641,294,382,127,456, 1 386,597,706, 1 693, 2 950, 1 136,Barnimkiez
21, 7 799,484,524,128,728, 3 044,846,804, 1 241, 3 967, 1 694,Friedenstraße
22, 11 268,821,735,136,910, 4 945, 1 430,958, 1 333, 5 625, 2 162,Richard-Sorge-Viertel
23, 13 331,871,815,224, 1 541, 4 711, 1 304, 1 295, 2 570, 6 704, 4 002,Andreasviertel
24, 11 270,560,689,166, 1 291, 4 734, 1 484, 1 089, 1 257, 5 312, 2 725,Weberwiese
25, 1 119,59,96,31,144,636,65,64,24,505,673,Wriezener Bahnhof
26, 9 116,573,556,109,852, 4 812, 1 040,651,523, 4 255, 2 318,Hausburgviertel
27, 6 567,428,422,95,603, 3 191,843,501,484, 3 178, 1 639,Forckenbeckplatz
28, 10 078,686,724,193,869, 5 143, 1 381,682,400, 4 874, 2 360,Samariterviertel
29, 5 436,388,423,108,471, 2 640,716,391,299, 2 605, 1 191,Pettenkofer Straße
30, 3 928,245,212,58,432, 1 948,532,283,218, 1 887, 1 070,Niederbarnim-straße
31, 7 910,471,538,105,792, 4 008,958,625,413, 3 809, 2 173,Wismarplatz
32, 9 029,730,619,147,853, 4 860,995,499,326, 4 263, 2 736,Traveplatz
33, 10 145,605,497,116,978, 5 636, 1 301,652,360, 4 786, 2 882,Boxhagener Platz 
34, 11 421,774,817,175, 1 141, 5 676, 1 616,764,458, 5 410, 2 749,Revaler Straße
35, 7 930,513,470,83,866, 4 105,803,526,564, 3 719, 2 243,Stralauer Kiez
36, 4 788,510,465,101,236, 1 764,760,444,508, 2 369,528,Stralauer Halbinsel
